@id	network	ref	direction	name	route
13446896	lcn	Traverse-Parallel		Fayetteville Traverse Parallel	mtb
13446897	lcn	Traverse		Fayetteville Traverse Cato Connector	mtb
13447328	lcn	NBT		North Bentonville Trail non-RRG	bicycle
13447469	lcn	LBV		Lake Bella Vista Trail non-RRG	bicycle
13447955	lcn	RR		Railyard Loop No-RRG	bicycle
13449645		Traverse		Fayetteville Traverse Centennial Kessler Connector	bicycle
13452308		CC-A11y		Clabber Creek Trail Accessibility Route	bicycle
13452309	lcn	CCRR-C		Rupple Clabber Connector	bicycle
13452310		CC-Detour		Clabber Creek Detour	bicycle
13452311		CC-C		Clabber Creek Connector	bicycle
13452356		RRGNio-Road-C		Niokaska Greenway Sharrow Connector	bicycle
13452478	lcn	Vang-C		Vandergriff Connector	mtb
13452479	lcn	Vang		Vandergriff Trail Lower Loop	mtb
13452480	lcn	Vang		Vandergriff Trail Middle Loop	mtb
13452481	lcn	Vang		Vandergriff Trail Upper Loop	mtb
13452524		Deans		Dean's Trail	bicycle
13452525		RRGMaple-C		RRG Maple St Connector	bicycle
13452526		Maple		Maple Street Cycle Route	bicycle
13452527		HolMead-Rd		Holcomb Meadow Cycle Route	bicycle
13454336		GG		Gene George Blvd Sidepath	bicycle
13454337		ElmS		Elm Springs Sidepath	bicycle
13456373		Shiloh		Shiloh Trail	bicycle
13472826	rcn	RRG		Razorback Regional Greenway Long Term Detour	bicycle
13472827				Razorback Regional Greenway - North Bentonville Separated	bicycle
13476500	lcn	Orchard		Orchard Trail	bicycle
13476501		CBArt		Crystal Bridges Art Trail	bicycle
13482584	lcn	RR-E		Rupple Road Sidepath Trail - East	bicycle
13482620		WP-Green		Walker Park Greenway	bicycle
13482756		GreenOldMO		Greenway to Old Missouri Bike Lane	bicycle
13482788		Spring		Spring Creek Trail	bicycle
13482820				Lake Atalanta Trail Split	bicycle
13482863		Vet-C		Veteran's Park Connector	bicycle
13482977				Cambridge Trail Main	bicycle
13483089		LL-Spur		Lincoln Loop Spur	bicycle
13483162		RRG-Rd-Detour		Razorback Greenway Road Detour	bicycle
13483177		Downtown		Downtown Trail	bicycle
13492238		1stSt		1st Street Sidepath	bicycle
13492239		ArSt		Arkansas Street Sidepath	bicycle
13492240		Frisco		Frisco Springs Trail	bicycle
13492241				Railyard Bike Park Loop	bicycle
13492242		LA-C		Lake Atalanta Connector	bicycle
13492327				13th St Sidepath	bicycle
13492483				Cambridge Wetlands Trail	bicycle
13492485				Cambridge 37th St Connector	bicycle
13492486				Cambridge Easy Street West Connector	bicycle
13492487				Cambridge Trail Easy Street Connector East	bicycle
13492496				Easy Street Spur	bicycle
13492993		Enfield		Enfield Trail	bicycle
13493075		CBArt-East		Crystal Bridges Art Trail East	bicycle
13493451		TCT-Spur		Turtle Creek Trail Spur	bicycle
13496912				Mount Comfort Road	bicycle
13671281	lcn			City Lake Skills Beginnner Line	mtb
13671282	lcn			City Lake Skills Intermediate Line	mtb
13671283	lcn			City Lake Skills Advanced Line	mtb
13671284	lcn			City Lake Skills Intermediate Alt Line	mtb
13671285	lcn			City Lake Skills Advanced Alt Line	mtb
13671322	lcn			Enchanted Forest	mtb
13845322	US:AR:Sebastian	188			road
