@id	name	route	network
4681197	AZ 40 Business	road	US:AZ:Business
4681221	"I 40 Business Spur (Winslow, AZ)"	road	US:I:Business:Spur
4681322	State Business Route 8	road	US:AZ:Business
4681384	Northern Parkway	road	US:CR
4681385	AZ 303 Loop (North)	road	US:AZ:Loop
4682079	Historic US 80 Marsh Station Loop	road	
4683397	Tucson Cloverleaf Circa 1958	road	
4683731		road	US:US
4683741	Navajo Trail	road	US:US
4717133	Prescott Circle Trail	hiking	rwn
4720713	Amtrak Southwest Chief: Chicago => Los Angeles	train	Amtrak
4740475	Apache Railway (Snowflake - McNary - Maverick section)	railway	
4772591	Former US 80 (AZ 1927)	road	
4848173	Bear Flat Trail #178	hiking	lwn
4848941	Crest Trail #270B	hiking	lwn
4848942	Monte Vista Trail #221	hiking	lwn
4848943	Rasberry Ridge Trail #228	hiking	lwn
4848944	Rucker Trail #222	hiking	lwn
4848945	Turtle Mountain Trail #219	hiking	lwn
4848970	Baker Canyon Trail #225	hiking	lwn
4848971	Crest Trail #270C	hiking	lwn
4848972	Price Canyon Trail #224	hiking	lwn
4848973	Red Rock Canyon Trail #223	hiking	lwn
4848974	Sentinel Peak Trail	hiking	lwn
4848975	South Fork Trail #243	hiking	lwn
4848998	Burnt Stump Trail #366	hiking	lwn
4848999	Horseshoe Ridge Trail #282	hiking	lwn
4849000	Jones Ridge Trail #365	hiking	lwn
4849007	Snowshed Trail #246	hiking	lwn
4849012	Burro Trail #240	hiking	lwn
5509062	90 (Arizona)	bicycle	ncn
5519054	Mesa Route 3	bicycle	lcn
5541148	Mesa Route 1	bicycle	lcn
5541149	Mesa Route 2	bicycle	lcn
5541150	Mesa Route 4	bicycle	lcn
5541151	Mesa Route 5	bicycle	lcn
5541152	Mesa Route 6	bicycle	lcn
5748291		power	
5748294		power	
5749444	Navajo Sub APSC to Moenkopi Sub APSC 500KV	power	
5749445		power	
5749446		power	
5749447	Moenkopi Sub APSC to Four Corners Sub APSC 500KV	power	
5749448	Navajo Sub APSC to Morgan Sub APSC 500KV	power	
5749449		power	
5749451		power	
5749453		power	
5749454		power	
5749456		power	
5749457		power	
5749458		power	
5749459		power	
5749460		power	
5749461	Moenkopi Sub APSC to Eldorado Sub SCE 500KV	power	
5749462		power	
5749532		power	
5749533		power	
5749751		power	
5749752		power	
5749753		power	
5749754		power	
5749755		power	
5749756		power	
5749757		power	
5749758		power	
5749805		power	
5749806		power	
5749807		power	
5749808		power	
5749840		power	
5749841		power	
5753918		power	
5753919		power	
5753920		power	
5753921		power	
5753923		power	
5753925		power	
5753960		power	
5753961		power	
5753962		power	
5753963		power	
5753964		power	
5754058		power	
5754102		power	
5754103		power	
5754104		power	
5754135		power	
5754136		power	
5754208		power	
5754209		power	
5754368		power	
5754369		power	
5754480		power	
5754481		power	
5754482		power	
5754483		power	
5754484		power	
5754485		power	
5754486		power	
5754568		power	
5754569		power	
5754661		power	
5754662		power	
5754663		power	
5754664		power	
5754712		power	
5754713		power	
5754714		power	
5754715		power	
5754716		power	
5754743		power	
5754744		power	
5755122		power	
5755124		power	
5755133		power	
5755156		power	
5755157		power	
5755610		power	
5755611		power	
5756394		power	
5756395		power	
5756409		power	
5756410		power	
5756411		power	
5756412		power	
5756429		power	
5756430		power	
5756431		power	
5756475		power	
5756509		power	
5756510		power	
5756511		power	
5756512		power	
5756513		power	
5756525		power	
5756526		power	
5757000		power	
5757001		power	
5757002		power	
5757003		power	
5757004		power	
5757063		power	
5757064		power	
5757114		power	
5914476	Summit Trail 300	hiking	lwn
5914477	Freedom Trail 302	hiking	lwn
5914478	Nature Trail 304	hiking	lwn
5914479	Trail 200	hiking	lwn
5936717		power	
5936718		power	
5936719		power	
5936720		power	
5936721		power	
5936722		power	
5936723		power	
5936768		power	
5936769		power	
5936770		power	
5936771		power	
5955752	Hermits Rest Route (East-bound)	bus	
5955753	Hermits Rest Route (West-bound)	bus	
5955754	Kaibab Rim Route (East-bound)	bus	
5955755	Kaibab Rim Route (West-bound)	bus	
5955756	Tusayan Route (North-bound)	bus	
5955757	Tusayan Route (South-bound)	bus	
5955758	Village Route (East-bound)	bus	
5955759	Village Route (West-bound)	bus	
6068155	bus 571 Express IB	bus	Valley Metro
6068156	bus 571 Express OB	bus	Valley Metro
6068157	bus 575 Express IB	bus	Valley Metro
6068158	bus 575 Express OB	bus	Valley Metro
6068159	bus SME Rapid IB	bus	Valley Metro
6068160	bus SME Rapid OB	bus	Valley Metro
6068161	bus I-10 East Rapid IB	bus	Valley Metro
6068162	bus I-10 East Rapid OB	bus	Valley Metro
6068163	bus I-10 West Rapid IB	bus	Valley Metro
6068164	bus I-10 West Rapid OB	bus	Valley Metro
6068165	bus I-17 Rapid IB	bus	Valley Metro
6068166	bus I-17 Rapid OB	bus	Valley Metro
6133848	El Paso and Southwestern Greenway	bicycle	lcn
6133869	Aviation Bikeway	bicycle	lcn
6133870	Jim Glock Bypass	bicycle	lcn
6136418	Sahuaro Street Bike Boulevard	bicycle	lcn
6136419	Fontana Avenue Bike Boulevard	bicycle	lcn
6136420	6th Avenue Bike Boulevard	bicycle	lcn
6136421	Lester Street Bikeway	bicycle	lcn
6136423	Park Avenue	bicycle	lcn
6136424	Olive Road	bicycle	lcn
6145777	Murry Basin Trail	hiking	lwn
6145778	Robiinson Hollow Trail	hiking	lwn
6168034	Cochise Vista Trail	bicycle	lcn
6184370		power	
6196110		road	
6211034	PHX Service Roads	road	
6282228	Grand Canal Trail	bicycle	lcn
6319026	bus 32 NB	bus	Valley Metro
6319027	bus 32 SB	bus	Valley Metro
6371049	bus Ajo/Gila Bend to Phoenix IB	bus	Valley Metro
6371050	bus Ajo/Gila Bend to Phoenix OB	bus	Valley Metro
6383158	Carr Peak Trail #107	hiking	lwn
6383159	Coronado Peak Trail	hiking	lwn
6383160	Crest Trail #103	hiking	rwn
6383161	Joe's Canyon Trail	hiking	lwn
6383162	Lutz Canyon Trail #104	hiking	lwn
6383163	Miller Canyon Trail #106	hiking	lwn
6383164	Miller Peak Trail #105	hiking	lwn
6383165	Oversite Canyon Trail #112	hiking	lwn
6383321	Carr Peak Spur Trail #108	hiking	lwn
6388714	Bear Canyon Trail #125	hiking	lwn
6388715	Hamburg Trail #122	hiking	lwn
6388716	Ida Canyon Trail #110	hiking	lwn
6388776	Chinaman Trail #137	hiking	lwn
6388777	Walker Canyon Trail	hiking	lwn
6475533	Charles M. Christiansen Trail 100	hiking	lwn
6475534	Dixie Peak Trail	hiking	lwn
6475535	Dreamy Draw Nature Trail 220	hiking	lwn
6475536	L.V. Yates Trail 8	hiking	lwn
6475537	Perl Charles Trail 1A	hiking	lwn
6475538	Quartz Ridge Trail 8A	hiking	lwn
6475539	Ruth Hamilton Trail 8B	hiking	lwn
6475540	Trail 100B	hiking	lwn
6475541	Trail 306	hiking	lwn
6475542	Trail 60	hiking	lwn
6475543	VOAZ Trail #1B	hiking	lwn
6476187	Rimview Trail	hiking	lwn
6623604	Devils Bridge #120	hiking	lwn
6623605	Long Canyon #122	hiking	lwn
6623629	Secret Canyon #121	hiking	lwn
6623673	Vultee Arch Trail #22	hiking	lwn
6623680	Broken Arrow #125	hiking	lwn
6623681	Little Horse #61	hiking	lwn
6623724	Girdner #162	hiking	lwn
6623725	Schuerman Mountain #56	hiking	lwn
6623726	Turkey Creek Trail #92	hiking	lwn
6645212	Sun Tran Route 9 Grant (eastbound)	bus	Sun Tran
6645213	Sun Tran Route 9 Grant (westbound)	bus	Sun Tran
6645296	Sun Tran Route 16 Oracle/Ina (northbound)	bus	Sun Tran
6645297	Sun Tran Route 16 Oracle/Ina (southbound)	bus	Sun Tran
6645692	El Paso and Southwestern Railroad (Tucson Remnants)	railroad	
6645717	Old Tucson Mainline	railway	
6725963	Agua Fria Generating Station 2	power	
6730478	Grand Canyon Railway	train	
6741017	Desert View Trail	hiking	lwn
6741042	Palo Verde Trail	hiking	lwn
6741634	Senita Basin-Red Tanks	hiking	lwn
6741635	Lost Cabin Mine Trail	hiking	lwn
6741668	Dripping Springs Trail	hiking	lwn
6741846	Bull Pasture Trail	hiking	lwn
6741847	Estes Canyon Trail	hiking	lwn
6741848	Arch Canyon Trail	hiking	lwn
6741849	Dripping Springs Mine Trail	hiking	lwn
6769828	Marty Robbins Boulevard	road	
6770048	County Highway 59	road	
6775680	Forest Road 259	road	
6783819	bus DASH WB	bus	Valley Metro
6785046	Old US 66	road	US:US:Old
6785930	Northern Parkway	road	
6785931	Northern Parkway	road	
6786049	Piestewa Freeway	road	US:AZ
6786075	Piestewa Freeway	road	US:AZ
6786159	AZ 202 Loop (Counterclockwise)	road	US:AZ:Loop
6786718	AZ 202 Loop (Clockwise)	road	US:AZ:Loop
6791956		road	US:I
6830177	County Road 72	road	US:AZ:Yavapai
6830178	County Route 70	road	US:AZ:Yavapai
6910620	Dr. Martin Luther King Jr. Boulevard	road	
6989801		foot	lwn
7012094	West Fork #108	hiking	lwn
7012095	Thomas Point Trail #142	hiking	lwn
7012096	A.B. Young #100	hiking	lwn
7012097	Telephone Trail #72	hiking	lwn
7012098	Harding Springs Trail #51	hiking	lwn
7012099	Lime Kiln #82	hiking	rwn
7013986	General Crook Trail #130 (Incomplete)	hiking	rwn
7032995	Sun Tran Route 4 Speedway (westbound from Houghton at Broadway)	bus	Sun Tran
7032996	Sun Tran Route 4 Speedway (eastbound to Golf Links at Kolb)	bus	Sun Tran
7032997	Sun Tran Route 4 Speedway (westbound from Golf Links at Kolb)	bus	Sun Tran
7033036	Sun Tran Route 4 Speedway (eastbound to Houghton at Broadway)	bus	Sun Tran
7080298	Sun Tran Route 8 Broadway (westbound from Houghton at Broadway)	bus	Sun Tran
7080299	Sun Tran Route 8 Broadway (eastbound to Houghton at Broadway)	bus	Sun Tran
7080300	Sun Tran Route 8 Broadway (eastbound to Udall Station)	bus	Sun Tran
7080301	Sun Tran Route 8 Broadway (westbound from Udall Station)	bus	Sun Tran
7259260	Round the Mountain Trail #302	hiking	lwn
7263452	Treat Walkway	foot	
7452596	Lordsburg Subdivision	railway	
7452655	Gila Subdivision	railway	
7473412	East	bus	
7507393		horse	
7507401		hiking	
7507405		bicycle	
7618907	Ski Valley	ski	
7644002	Trail 261	hiking	lwn
7655460		road	US:US
7726661	bus 140 WB	bus	Valley Metro
7726662	bus 140 EB	bus	Valley Metro
7728595	Light Rail A Line Eastbound	light_rail	Valley Metro
7743567	bus 60 WB montebello loop	bus	Valley Metro
7743568	bus 60 EB montebello loop	bus	Valley Metro
8061307	Pat Scott Trail #123	hiking	lwn
8068437	Mica Mountain Trail	hiking	lwn
8068817	Arizona Trail #1 Huachuca Mountains	hiking	rwn
8068892	Yaqui Ridge Trail	hiking	lwn
8071091	Scotia Canyon Trail #127	hiking	lwn
8071092	Sunnyside Canyon Trail #117	hiking	lwn
8073840	Parker Canyon Lakeshore Trail	hiking	lwn
8074072	Arizona Trail #2 Canelo Hills East	hiking	rwn
8074889	Aravaipa Canyon Trail	hiking	lcn
8075096	Cottonwood Mountain Trail #66	hiking	lwn
8075097	Gardner Canyon Trail #67	hiking	lwn
8075098	Black Rock Trail #292	hiking	lwn
8075099	Holdout Trail #69	hiking	lwn
8075217	Clark Peak Trail #301	hiking	lwn
8075218	John's Canyon Trail #313	hiking	lwn
8075230	Hell's Hole Trail #319	hiking	lwn
8075231	Nuttall Trail #303	hiking	lwn
8075232	Blue Jay Ridge Trail #314	hiking	lwn
8075233	Colter Spring Trail #312	hiking	lwn
8075234	Taylor Trail #306	hiking	lwn
8075238	Arcadia Trail #328	hiking	lwn
8075239	Noon Creek Ridge Trail #318	hiking	lwn
8075240	Gibson Canyon Trail #308	hiking	lwn
8075248	Noon Creek Trail #302A	hiking	lwn
8075249	Bear Canyon Trail #299	hiking	lwn
8075250	Ladybug Trail #329	hiking	lwn
8075251	Rincon Spring Trail #331	hiking	lwn
8075252	Deadman Trail #70	hiking	lwn
8075259	Ash Creek Trail #307	hiking	lwn
8075260	Shingle Mill Trail #35	hiking	lwn
8075262	Webb Peak Trail #345	hiking	lwn
