@id	name	route	network
9483332	AZ 101 Loop (Counterclockwise)	road	US:AZ:Loop
9620151	Sun Tran Route 2 Pueblo Gardens (Southbound)	bus	Sun Tran
9620451	Sun Tran Route 12 10th/12th Avenue	bus	Sun Tran
9620452	Sun Tran Route 11 Alvernon	bus	Sun Tran
9620550	Sun Tran Route 24 12th Avenue	bus	Sun Tran
9620551	Sun Tran Route 23 Mission	bus	Sun Tran
9620552	Sun Tran Route 22 El Rio/W. Speedway	bus	Sun Tran
9620553	Sun Tran Route 21 West Congress/Silverbell	bus	Sun Tran
9620554	Sun Tran Route 19 Stone	bus	Sun Tran
9620555	Sun Tran Route 18 South 6th Avenue	bus	Sun Tran
9622795	Sun Tran Route 61 La Cholla	bus	Sun Tran
9622796	Sun Tran Route 50 Ajo Way	bus	Sun Tran
9622797	Sun Tran Route 29 Valencia	bus	Sun Tran
9622798	Sun Tran Route 27 Midvale Park	bus	Sun Tran
9622799	Sun Tran Route 26 Benson Highway (Eastbound)	bus	Sun Tran
9623151	Sun Tran Route 105X Foothills-Downtown Express	bus	Sun Tran
9623152	Sun Tran Route 104X Marana-Downtown Express	bus	Sun Tran
9623153	Sun Tran Route 103X Northwest-Downtown Express	bus	Sun Tran
9623154	Sun Tran Route 102X Northwest-UA Express	bus	Sun Tran
9623155	Sun Tran Route 101X Golf Links-Downtown Express	bus	Sun Tran
9623315	Sun Tran Route 204X Northwest-Aero Park Express	bus	Sun Tran
9623316	Sun Tran Route 203X Oro Valley-Aero Park Express	bus	Sun Tran
9623317	Sun Tran Route 201X Eastside-Aero Park Express	bus	Sun Tran
9623318		bus	Sun Tran
9623319	Sun Tran Route 109X Catalina Highway-Downtown Express	bus	Sun Tran
9623320	Sun Tran Route 108X Broadway-Downtown Express	bus	Sun Tran
